parent_id,name,description,header
344,2898 - LORD HOWE ISLAND,2898 - LORD HOWE ISLAND,FALSE
344,2899 - NORFOLK ISLAND,2899 - NORFOLK ISLAND,FALSE
344,3500 - PARINGI,3500 - PARINGI,FALSE
344,3586 - MALLAN,3586 - MALLAN,FALSE
344,3644 - BAROOGA,3644 - BAROOGA,FALSE
344,3644 - LALALTY,3644 - LALALTY,FALSE
344,3691 - LAKE HUME VILLAGE,3691 - LAKE HUME VILLAGE,FALSE
344,3707 - BRINGENBRONG,3707 - BRINGENBRONG,FALSE
344,4377 - MARYLAND,4377 - MARYLAND,FALSE
344,4380 - AMOSFIELD,4380 - AMOSFIELD,FALSE
344,4380 - MINGOOLA,4380 - MINGOOLA,FALSE
344,4380 - RUBY CREEK,4380 - RUBY CREEK,FALSE
344,4380 - UNDERCLIFFE,4380 - UNDERCLIFFE,FALSE
344,4383 - JENNINGS,4383 - JENNINGS,FALSE
344,4385 - CAMP CREEK,4385 - CAMP CREEK,FALSE
